iter	Accuracy	MultiClass
117	0.9992751844	0.009713071379
118	0.9992751844	0.009709530052
119	0.9992751844	0.009705970804
120	0.9992751844	0.009702834736
121	0.9992751844	0.009700500766
122	0.9992751844	0.009698473155
123	0.9992751844	0.009625306996
124	0.9992751844	0.009503947479
125	0.9992751844	0.009500545361
126	0.9992751844	0.009379779466
127	0.9992751844	0.009269175511
128	0.9992751844	0.00926170189
129	0.9992751844	0.009258701855
130	0.9992751844	0.009148782971
131	0.9992751844	0.009140846848
132	0.9992751844	0.009138813798
133	0.9992751844	0.009136352091
134	0.9992751844	0.009132863037
135	0.9992751844	0.009128479142
136	0.9992751844	0.009126691849
137	0.9992751844	0.009125405575
138	0.9992751844	0.009122867527
139	0.999286875	0.009120599013
140	0.999286875	0.009118475532
141	0.999286875	0.009116379243
142	0.9992985656	0.009111829893
143	0.9992985656	0.009109972255
144	0.9992985656	0.009108596811
145	0.9992985656	0.009103448675
146	0.9992985656	0.00901450227
147	0.9992985656	0.009012413568
148	0.9992985656	0.008955636662
149	0.9992985656	0.008843713397
150	0.9992985656	0.008841224958
151	0.9992985656	0.008836294478
152	0.9992985656	0.008835269379
153	0.9992985656	0.008723877649
154	0.9992985656	0.00872057293
155	0.9992985656	0.00871839399
156	0.9992985656	0.008646768397
157	0.9992985656	0.00864517375
158	0.9992985656	0.008546175483
159	0.9992985656	0.008544507127
160	0.9992985656	0.008477748713
161	0.9992985656	0.008475689764
162	0.9992985656	0.008410987286
163	0.9992985656	0.008366475577
164	0.9992985656	0.008365445211
165	0.9992985656	0.008364061983
166	0.9992985656	0.008362519864
167	0.9992985656	0.008358292054
168	0.9992985656	0.008356566343
169	0.9992985656	0.008355588557
170	0.9992985656	0.00829091606
171	0.9992985656	0.00824948394
172	0.9992985656	0.008248095524
173	0.9992985656	0.008194961991
174	0.9992985656	0.008194757685
175	0.9992985656	0.008193828445
176	0.9992985656	0.008192817936
177	0.9992985656	0.008192365903
178	0.9992985656	0.008191405858
179	0.9992985656	0.008189775166
180	0.9992985656	0.008188046774
181	0.9992985656	0.008187330296
182	0.9992985656	0.008185925282
183	0.9992985656	0.008184925517
184	0.9992985656	0.008147223279
185	0.9992985656	0.008067984609
186	0.9992985656	0.008067421074
187	0.9992985656	0.008065809641
188	0.9992985656	0.008064636617
189	0.9992985656	0.008063880233
190	0.9992985656	0.008061982987
191	0.9992985656	0.008058155809
192	0.9992985656	0.008056618757
193	0.9992985656	0.008055634633
194	0.9992985656	0.008054015074
195	0.9992985656	0.008052279187
196	0.9992985656	0.008051307503
197	0.9992985656	0.00804994525
198	0.9992985656	0.008043195506
199	0.9992985656	0.008042037445
200	0.9992985656	0.00800793218
201	0.9992985656	0.008004905016
202	0.9992985656	0.007973765931
203	0.9992985656	0.007972302118
204	0.9992985656	0.007970464534
205	0.9992985656	0.007968408297
206	0.9992985656	0.007966493707
207	0.9992985656	0.007965049185
208	0.9992985656	0.007963357773
209	0.9992985656	0.007960418357
210	0.9992985656	0.00795619664
211	0.9992985656	0.007955615117
212	0.9992985656	0.00795427812
213	0.9992985656	0.007951064143
214	0.9992985656	0.00794921552
215	0.9992985656	0.007948238469
216	0.9992985656	0.007947346653
217	0.9992985656	0.007946570001
218	0.9992985656	0.007945526876
219	0.9992985656	0.007944589237
220	0.9992985656	0.007942997214
221	0.9992985656	0.007912020784
222	0.9992985656	0.007911025566
223	0.9992985656	0.007909420254
224	0.9992985656	0.007908683581
225	0.9992985656	0.007907822413
226	0.9992985656	0.007906549153
227	0.9992985656	0.007905572872
228	0.9992985656	0.007905257123
229	0.9992985656	0.007903732466
230	0.9992985656	0.007901397869
231	0.9992985656	0.007871877025
232	0.9992985656	0.007870548713
233	0.9992985656	0.007869544281
234	0.9992985656	0.007868727307
235	0.9992985656	0.00786643968
236	0.9992985656	0.007864447062
237	0.9992985656	0.007862937689
238	0.9992985656	0.007790418512
239	0.9992985656	0.00778843387
240	0.9992985656	0.007787933002
241	0.9992985656	0.007786824975
242	0.9992985656	0.007720347673
243	0.9992985656	0.007720049158
244	0.9992985656	0.007719389887
245	0.9992985656	0.007718704881
246	0.9992985656	0.007717251941
247	0.9992985656	0.007716441504
248	0.9992985656	0.00766634994
249	0.9992985656	0.00766568687
250	0.9992985656	0.007632836668
251	0.9992985656	0.007631994603
252	0.9992985656	0.007629732556
253	0.9992985656	0.007628776621
254	0.9992985656	0.007628012385
255	0.9992985656	0.007627340309
256	0.9992985656	0.00762630667
257	0.9992985656	0.007625749069
258	0.9992985656	0.007624816087
259	0.9992985656	0.007622977446
260	0.9992985656	0.00759782276
261	0.9992985656	0.00759642562
262	0.9992985656	0.007595359748
263	0.9992985656	0.007549528825
264	0.9992985656	0.007548621462
265	0.9992985656	0.007547880169
266	0.9992985656	0.007547239244
267	0.9992985656	0.007546477637
268	0.9992985656	0.007545980731
269	0.9992985656	0.007544762108
270	0.9992985656	0.007544126406
271	0.9992985656	0.00754206233
272	0.9992985656	0.00754150615
273	0.9992985656	0.007540716638
274	0.9992985656	0.007536161084
275	0.9992985656	0.007535805756
276	0.9992985656	0.007534324652
277	0.9992985656	0.007531553
278	0.9992985656	0.007472466029
279	0.9992985656	0.007471230967
280	0.9992985656	0.007470103105
281	0.9992985656	0.007467891121
282	0.9992985656	0.007467692234
283	0.9992985656	0.00746552897
284	0.9992985656	0.007464657049
285	0.9992985656	0.007463611695
286	0.9992985656	0.007463067859
287	0.9992985656	0.007440927846
288	0.9992985656	0.007440520184
289	0.9992985656	0.007439459751
290	0.9992985656	0.007438722556
291	0.9992985656	0.007437565296
292	0.9992985656	0.007436450181
293	0.9992985656	0.007435573622
294	0.9992985656	0.007434641602
295	0.9992985656	0.007434140925
296	0.9992985656	0.007433663339
297	0.9992985656	0.007433481134
298	0.9992985656	0.007413621363
299	0.9992985656	0.00741183704
